set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
4,0,conjunction,left,1,1,0,left,1,0.9479670000146143,None,,,,,0,1,1,9,29.313318500004243,,,,,,,,,,,,,,,,,29.300275499990676,29.313318500004243,29.800079400010873,29.814886500011198,29.829178199986927,30.78362240002025,,,,,,,,30.78368930000579,30.79610330000287,31.284169299993664,,29.829178199986927,,,,,,,,left,1,0.9479670000146143,None,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,feature,right,2,2,0,right,1,0.6067164000123739,None,,,,,0,2,2,26,31.296610999968834,,,,,,,,,,,,,,,,,31.284397599985823,31.296610999968834,31.78334189997986,31.824720999982674,31.84544399997685,32.468294799968135,,,,,,,,32.468355599965435,32.47929479996674,32.96594510000432,,31.84544399997685,,,,,,,,right,1,0.6067164000123739,None,32.97968439996475,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,0,conjunction,left,3,3,0,left,1,1.3020513000083156,None,,,,,0,3,3,11,32.97968439996475,,,,,,,,,,,,,,,,,32.9661366000073,32.97968439996475,33.466273800004274,33.52981560002081,33.56203580001602,34.86814550001873,,,,,,,,34.868218899995554,34.879084300016984,35.366749199980404,,33.56203580001602,,,,,,,,left,1,1.3020513000083156,None,35.37907309998991,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,conjunction,right,4,4,0,right,1,0.9194393999641761,None,,,,,0,4,4,18,35.37907309998991,,,,,,,,,,,,,,,,,35.36696590000065,35.37907309998991,35.86536649998743,35.87554320000345,35.89536299998872,36.818214099970646,,,,,,,,36.818305999971926,36.82910289999563,37.316328199987765,,35.89536299998872,,,,,,,,right,1,0.9194393999641761,None,37.32926540001063,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,conjunction,right,5,5,0,right,1,1.3908304999931715,None,,,,,0,5,5,20,37.32926540001063,,,,,,,,,,,,,,,,,37.31653130002087,37.32926540001063,37.81676879996667,37.88651609997032,37.91154669999378,39.318640100013,,,,,,,,39.31873309996445,39.32957770000212,39.81688619998749,,37.91154669999378,,,,,,,,right,1,1.3908304999931715,None,39.829570600006264,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,1,conjunction,right,6,6,0,right,1,1.0868011999991722,None,,,,,0,6,6,7,39.829570600006264,,,,,,,,,,,,,,,,,39.81709329999285,39.829570600006264,40.31615500000771,40.35019129997818,40.37779900000896,41.46714029996656,,,,,,,,41.467223300016485,41.4794905000017,41.96593369997572,,40.37779900000896,,,,,,,,right,1,1.0868011999991722,None,41.97936369996751,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,0,conjunction,left,7,7,0,left,1,1.4667795000132173,None,,,,,0,7,7,35,41.97936369996751,,,,,,,,,,,,,,,,,41.96612629998708,41.97936369996751,42.46558299998287,42.52957780001452,42.56083630002104,44.03492229996482,,,,,,,,44.034993799985386,44.04491769999731,44.53199190000305,,42.56083630002104,,,,,,,,left,1,1.4667795000132173,None,44.54503239999758,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,conjunction,right,8,8,0,right,1,1.1590377999818884,None,,,,,0,8,8,32,44.54503239999758,,,,,,,,,,,,,,,,,44.5321827000007,44.54503239999758,45.03439529996831,45.10971900000004,45.14365839998936,46.31588780001039,,,,,,,,46.315947800001595,46.32749729999341,46.81433650001418,,45.14365839998936,,,,,,,,right,1,1.1590377999818884,None,46.82775339996442,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,feature,left,9,9,0,left,1,0.667596900020726,None,,,,,0,9,9,28,46.82775339996442,,,,,,,,,,,,,,,,,46.81450330000371,46.82775339996442,47.31384939997224,47.332781600009184,47.36004260001937,48.03192909999052,,,,,,,,48.03199049999239,48.04446080001071,48.53477109997766,,47.36004260001937,,,,,,,,left,1,0.667596900020726,None,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,conjunction,right,10,10,0,left,0,1.3797307999921031,None,,,,,0,10,10,30,48.544762999983504,,,,,,,,,,,,,,,,,48.53504300001077,48.544762999983504,49.03076599998167,49.04041379998671,49.0596539999824,50.4480386999785,,,,,,,,50.44812339998316,50.46062349999556,50.94822700001532,,49.0596539999824,,,,,,,,left,0,1.3797307999921031,None,50.96068030002061,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,feature,right,11,11,0,right,1,0.601623099995777,None,,,,,0,11,11,24,50.96068030002061,,,,,,,,,,,,,,,,,50.94844639999792,50.96068030002061,51.44716609996976,51.45424649998313,51.47604879998835,52.08158130000811,,,,,,,,52.08166720002191,52.0933526000008,52.580476099974476,,51.47604879998835,,,,,,,,right,1,0.601623099995777,None,52.5939755999716,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,1,feature,right,12,12,0,right,1,0.5011579000274651,None,,,,,0,12,12,25,52.5939755999716,,,,,,,,,,,,,,,,,52.58065949997399,52.5939755999716,53.081372099986766,53.102871000010055,53.12624909996521,53.63050339999609,,,,,,,,53.63056570000481,53.64378729998134,54.13005570002133,,53.12624909996521,,,,,,,,right,1,0.5011579000274651,None,54.14326919999439,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,0,feature,left,13,13,0,left,1,0.7688023999799043,None,,,,,0,13,13,3,54.14326919999439,,,,,,,,,,,,,,,,,54.130220799997915,54.14326919999439,54.63002949999645,54.637910299992654,54.659026900015306,55.43236979999347,,,,,,,,55.43244170001708,55.442647799965926,55.92968729999848,,54.659026900015306,,,,,,,,left,1,0.7688023999799043,None,55.94349149998743,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,feature,left,14,14,0,left,1,0.7516066000098363,None,,,,,0,14,14,16,55.94349149998743,,,,,,,,,,,,,,,,,55.92985650000628,55.94349149998743,56.43083809997188,56.44960719998926,56.47572599997511,57.2305011000135,,,,,,,,57.230563000019174,57.24257790000411,57.73432290001074,,56.47572599997511,,,,,,,,left,1,0.7516066000098363,None,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,feature,right,15,15,0,right,1,0.9064726000069641,None,,,,,0,15,15,2,57.74330999999074,,,,,,,,,,,,,,,,,57.734578599978704,57.74330999999074,58.23001509997994,58.27122449997114,58.30851279996568,59.215734499972314,,,,,,,,59.21580999996513,59.2258761000121,59.71358229999896,,58.30851279996568,,,,,,,,right,1,0.9064726000069641,None,59.72648770001251,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,0,feature,left,16,16,0,left,1,0.7020951000158675,None,,,,,0,16,16,5,59.72648770001251,,,,,,,,,,,,,,,,,59.71378629998071,59.72648770001251,60.21243080002023,60.24726410000585,60.27517989999615,60.98150110000279,,,,,,,,60.98156320000999,60.9927271999768,61.481373200018425,,60.27517989999615,,,,,,,,left,1,0.7020951000158675,None,61.492820999992546,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,0,conjunction,left,17,17,0,left,1,1.7656883000163361,None,,,,,0,17,17,23,61.492820999992546,,,,,,,,,,,,,,,,,61.48158969997894,61.492820999992546,61.98008539999137,62.048111099982634,62.07491349999327,63.850285099993926,,,,,,,,63.850367399980314,63.85962760000257,64.3454708000063,,62.07491349999327,,,,,,,,left,1,1.7656883000163361,None,64.3589462999953,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,0,feature,left,18,18,0,left,1,0.9448401000117883,None,,,,,0,18,18,17,64.3589462999953,,,,,,,,,,,,,,,,,64.3456492999685,64.3589462999953,64.84524290001718,64.88454729999648,64.90803849999793,65.86295209999662,,,,,,,,65.86301390000153,65.87531630002195,66.36164249997819,,64.90803849999793,,,,,,,,left,1,0.9448401000117883,None,66.37510030000703,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
