thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_rest.keys,key_rest.rt,key_rest.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,trial.started,key_resp.started,trial.stopped,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,rest_routine.started,rest_routine.stopped,formal_loop.key_rest.keys,rest_text.started,key_rest.started,formal_loop.key_rest.rt,formal_loop.key_rest.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.003081499948166311,0.010444499959703535,0.010444499959703535,1.2570396999944933,space,1.2303920999984257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2571437999722548,1.2671209999825805,1.2671209999825805,2.648451599990949,space,1.3732982999645174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
0,0,0,4,1,feature,right,right,1,0.6108611999661662,None,,,,,,,,0,0,0,0,0,0,0,0,,,,,2.6813844999996945,,,,,,,,,,,,,,,,,2.6511617999640293,2.6512175999814644,2.6765150999999605,2.6813844999996945,3.1640572999604046,3.1829902000026777,3.191721199953463,3.8164668999961577,right,1,0.6108611999661662,None,3.816756699990947,3.8463294999673963,5.330174000002444,5.330245399964042,5.346543199964799,5.8304559999960475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
1,1,0,12,0,conjunction,left,left,1,1.1646124999970198,None,,,,,,,,0,0,0,0,0,1,1,5,,,,,5.846557799959555,,,,,,,,,,,,,,,,,,,5.831054799957201,5.846557799959555,6.3297064999933355,6.376888899947517,6.3880532999755815,7.565277199959382,left,1,1.1646124999970198,None,7.565375299949665,7.578807699959725,9.063709899957757,9.063787999970373,9.079443399969023,9.562715899955947,9.079443399969023,9.579280699952506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
2,2,0,24,1,feature,right,right,1,0.7217773000011221,None,,,,,,,,0,0,0,0,0,2,2,1,,,,,9.579280699952506,,,,,,,,,,,,,,,,,,,9.563113599957433,9.579280699952506,10.06314859999111,10.12497499998426,10.143109500000719,10.867810799973086,right,1,0.7217773000011221,None,10.867979699978605,10.883659199986141,12.379162799974438,12.379249399993569,12.395597099966835,12.879405399959069,,,10.143109500000719,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
3,3,0,12,0,feature,left,left,1,0.5737510999897495,None,,,,,,,,0,0,0,0,0,3,3,2,,,,,12.895827999978792,,,,,,,,,,,,,,,,,,,12.87998799997149,12.895827999978792,13.37928519997513,13.417431999987457,13.429897299967706,14.015148199978285,left,1,0.5737510999897495,None,14.015289300004952,14.032784199982416,15.529214199981652,15.529331300000194,15.545344199985266,16.028599899960682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
4,4,0,24,1,conjunction,right,left,0,0.6399136999971233,None,,,,,,,,0,0,0,0,0,4,4,4,,,,,16.045349599968176,,,,,,,,,,,,,,,,,,,16.02917209995212,16.045349599968176,16.52915779995965,16.605681899993215,16.624348999990616,17.266307499958202,left,0,0.6399136999971233,None,17.266452899959404,17.28067710000323,18.778309399960563,18.778391500003636,18.79478090000339,19.27847809996456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
5,5,0,4,1,conjunction,right,right,1,0.62480669998331,None,,,,,,,,0,0,0,0,0,5,5,3,,,,,19.29493360000197,,,,,,,,,,,,,,,,,,,19.279061899986118,19.29493360000197,19.77791269996669,19.795469100004993,19.80293529998744,20.43000100000063,right,1,0.62480669998331,None,20.430154699948616,20.44474269996863,21.929883899982087,21.92999350000173,21.94441569998162,22.428652499977034,21.94441569998162,22.481541299959645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.441044399980456,22.481541299959645,24.444785700005013,,,,,,,,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.445082999998704,24.461283899960108,24.461283899960108,26.478107599949,space,2.0026504999841563,None,,,,,,,,,,,,,,,,,,098713,001,2026-04-19_21h37.21.433,midterm_project,,2026.1.1,60.03777576959557,2026-04-19 21h37.21.686473 +0800,
