set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,fb_text.stopped,ITI_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,0,conjunction,left,1,1,0,left,1,1.1878794999793172,None,,,,,0,1,1,11,28.94991540000774,,,,,,,,,,,,,,,,,28.9337182000163,28.94991540000774,29.432883400004357,29.570302499982063,29.591736300033517,30.78571570001077,,,,,,30.785798299999442,30.799036099982914,31.282494199986104,,,,31.298862700001337,29.591736300033517,,,,,,,,left,1,1.1878794999793172,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,1,conjunction,right,2,2,0,right,1,1.4361435999744572,None,,,,,0,2,2,31,31.298862700001337,,,,,,,,,,,,,,,,,31.28268400003435,31.298862700001337,31.78273670002818,31.81923470000038,31.830927600036375,33.28380159998778,,,,,,33.28386560000945,33.29882309999084,33.78222300001653,,,,33.798890899983235,31.830927600036375,,,,,,,,right,1,1.4361435999744572,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,feature,left,3,3,0,left,1,0.6279283000039868,None,,,,,0,3,3,28,33.798890899983235,,,,,,,,,,,,,,,,,33.7824566999916,33.798890899983235,34.282465900003444,34.314480900007766,34.32654109998839,34.9675626999815,,,,,,34.96766560000833,34.98213550000219,35.46634829998948,,,,35.4826330000069,34.32654109998839,,,,,,,,left,1,0.6279283000039868,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,0,feature,left,4,4,0,left,1,0.6674825000227429,None,,,,,0,4,4,27,35.4826330000069,,,,,,,,,,,,,,,,,35.466829899989534,35.4826330000069,35.965437899983954,35.978461600025184,35.98706780001521,36.66643350000959,,,,,,36.66652640001848,36.68152059998829,37.1653057000367,,,,37.18141369998921,35.98706780001521,,,,,,,,left,1,0.6674825000227429,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,feature,left,5,5,0,left,1,0.7165551999933086,None,,,,,0,5,5,4,37.18141369998921,,,,,,,,,,,,,,,,,37.165525900025386,37.18141369998921,37.66531469998881,37.68850260000909,37.7000727999839,38.43316950002918,,,,,,38.43323160003638,38.44872560002841,38.93275169999106,,,,38.948342100018635,37.7000727999839,,,,,,,,left,1,0.7165551999933086,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,0,feature,left,6,6,0,left,1,0.5761532000033185,None,,,,,0,6,6,5,38.948342100018635,,,,,,,,,,,,,,,,,38.93361390003702,38.948342100018635,39.431479900027625,39.470984300016426,39.4907213000115,40.06823949998943,,,,,,40.0683303999831,40.081195699982345,40.564680100011174,,,,40.58141510002315,39.4907213000115,,,,,,,,left,1,0.5761532000033185,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,0,conjunction,left,7,7,0,left,1,0.8064827999914996,None,,,,,0,7,7,21,40.58141510002315,,,,,,,,,,,,,,,,,40.56492070003878,40.58141510002315,41.06489530002,41.07973100000527,41.08611299999757,41.898785200028215,,,,,,41.898866300005466,41.91432380001061,42.398022199980915,,,,42.4143189000315,41.08611299999757,,,,,,,,left,1,0.8064827999914996,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,conjunction,right,8,8,0,right,1,0.5890942999976687,None,,,,,0,8,8,18,42.4143189000315,,,,,,,,,,,,,,,,,42.39841530000558,42.4143189000315,42.89877090003574,42.9212683000369,42.92836439999519,43.533086200011894,,,,,,43.53325600002427,43.54732090001926,44.03132650000043,,,,44.047189600009006,42.92836439999519,,,,,,,,right,1,0.5890942999976687,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,feature,right,9,9,0,right,1,0.5603601000038907,None,,,,,0,9,9,26,44.047189600009006,,,,,,,,,,,,,,,,,44.03173600003356,44.047189600009006,44.531072499987204,44.574723800003994,44.594360499992035,45.16924299998209,,,,,,45.16936210001586,45.1810065000318,45.66553270001896,,,,45.68098280002596,44.594360499992035,,,,,,,,right,1,0.5603601000038907,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,0,conjunction,left,10,10,0,left,1,0.9016146999783814,None,,,,,0,10,10,33,45.68098280002596,,,,,,,,,,,,,,,,,45.66614600003231,45.68098280002596,46.16449890000513,46.18440550001105,46.19166360003874,47.10034230002202,,,,,,47.10055040003499,47.11366149998503,47.59702530002687,,,,47.61361970001599,46.19166360003874,,,,,,,,left,1,0.9016146999783814,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,1,feature,right,11,11,0,right,1,0.6036137000191957,None,,,,,0,11,11,25,47.61361970001599,,,,,,,,,,,,,,,,,47.59718849998899,47.61361970001599,48.09737360000145,48.126433000026736,48.138833999983035,48.748971400025766,,,,,,48.74906539998483,48.76355859998148,49.24710440001218,,,,49.26327150000725,48.138833999983035,,,,,,,,right,1,0.6036137000191957,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,feature,right,12,12,0,left,0,0.5867493999539874,None,,,,,0,12,12,2,49.26327150000725,,,,,,,,,,,,,,,,,49.24743849999504,49.26327150000725,49.746976700029336,49.78608260001056,49.80494010000257,50.3989283000119,,,,,,50.398991700029,50.41334430000279,50.89802050002618,,,,50.913466199999675,49.80494010000257,,,,,,,,left,0,0.5867493999539874,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,feature,left,13,13,0,left,1,0.5601157999481075,None,,,,,0,13,13,16,50.913466199999675,,,,,,,,,,,,,,,,,50.89874450000934,50.913466199999675,51.396728400024585,51.42961530003231,51.444116900034714,52.01493519998621,,,,,,52.015033500036225,52.02945070003625,52.51372660003835,,,,52.52976770000532,51.444116900034714,,,,,,,,left,1,0.5601157999481075,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,conjunction,left,14,14,0,left,1,0.6230239000287838,None,,,,,0,14,14,34,52.52976770000532,,,,,,,,,,,,,,,,,52.514271799998824,52.52976770000532,53.01304390002042,53.053137200011406,53.06901800003834,53.69755460001761,,,,,,53.69762659998378,53.712927100015804,54.19605389999924,,,,54.21260229998734,53.06901800003834,,,,,,,,left,1,0.6230239000287838,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,0,feature,left,15,15,0,left,1,0.516095699975267,None,,,,,0,15,15,3,54.21260229998734,,,,,,,,,,,,,,,,,54.19624040002236,54.21260229998734,54.69670780003071,54.70685339998454,54.71350459998939,55.23083680000855,,,,,,55.2310276000062,55.245979900006205,55.72919099999126,,,,55.74572679999983,54.71350459998939,,,,,,,,left,1,0.516095699975267,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,conjunction,right,16,16,0,right,1,1.3301806999952532,None,,,,,0,16,16,6,55.74572679999983,,,,,,,,,,,,,,,,,55.72934840002563,55.74572679999983,56.229455600026995,56.242708100005984,56.250155200017616,57.59734119998757,,,,,,57.59743540000636,57.61241040000459,58.096176900027785,,,,58.11271499999566,56.250155200017616,,,,,,,,right,1,1.3301806999952532,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,0,feature,left,17,17,0,left,1,0.5171547000063583,None,,,,,0,17,17,17,58.11271499999566,,,,,,,,,,,,,,,,,58.09652349998942,58.11271499999566,58.595922700013034,58.64257110003382,58.662452000018675,59.18287399999099,,,,,,59.182943399995565,59.19548260001466,59.67909749998944,,,,59.69521440000972,58.662452000018675,,,,,,,,left,1,0.5171547000063583,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,1,conjunction,right,18,18,0,left,0,0.8235063000465743,None,,,,,0,18,18,19,59.69521440000972,,,,,,,,,,,,,,,,,59.67938049999066,59.69521440000972,60.17915989999892,60.219346300000325,60.231528100033756,61.06390619999729,,,,,,61.06399360002251,61.078412600036245,61.56185490003554,,,,61.57824120001169,60.231528100033756,,,,,,,,left,0,0.8235063000465743,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,0,feature,left,19,19,0,left,1,0.778262400010135,None,,,,,0,19,19,15,61.57824120001169,,,,,,,,,,,,,,,,,61.562046300037764,61.57824120001169,62.06187420000788,62.0712848000112,62.0783475000062,62.862869400007185,,,,,,62.862961300008465,62.87808809999842,63.36164560000179,,,,63.37789970001904,62.0783475000062,,,,,,,,left,1,0.778262400010135,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,conjunction,left,20,20,0,left,1,0.569305099954363,None,,,,,0,20,20,10,63.37789970001904,,,,,,,,,,,,,,,,,63.36182260001078,63.37789970001904,63.861740300024394,63.898490599996876,63.91014749999158,64.49648450000677,,,,,,64.49655129999155,64.5112964999862,64.99489979998907,,,,65.01124560000608,63.91014749999158,,,,,,,,left,1,0.569305099954363,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,feature,right,21,21,0,right,1,0.9905347999883816,None,,,,,0,21,21,24,65.01124560000608,,,,,,,,,,,,,,,,,64.99516530003166,65.01124560000608,65.49507649999578,65.50747399998363,65.5151654999936,66.51239049999276,,,,,,66.51247830002103,66.52770670002792,67.01138350000838,,,,67.02775599999586,65.5151654999936,,,,,,,,right,1,0.9905347999883816,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,1,feature,right,22,22,0,right,1,0.6820070999674499,None,,,,,0,22,22,13,67.02775599999586,,,,,,,,,,,,,,,,,67.01173000002746,67.02775599999586,67.51152330002515,67.53570830001263,67.54767080000602,68.24648700002581,,,,,,68.24660160002531,68.2608523000381,68.7447537999833,,,,68.76123120001284,67.54767080000602,,,,,,,,right,1,0.6820070999674499,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,0,conjunction,left,23,23,0,left,1,1.1835143000353128,None,,,,,0,23,23,35,68.76123120001284,,,,,,,,,,,,,,,,,68.7451168000116,68.76123120001284,69.24442040000577,69.31252540001879,69.33373489999212,70.53095320001012,,,,,,70.5310332000372,70.54391270002816,71.02729440003168,,,,71.0437219000305,69.33373489999212,,,,,,,,left,1,1.1835143000353128,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,conjunction,right,24,24,0,right,1,0.874022200005129,None,,,,,0,24,24,30,71.0437219000305,,,,,,,,,,,,,,,,,71.02755470003467,71.0437219000305,71.52716950001195,71.53595160000259,71.54358759999741,72.42819629999576,,,,,,72.4282689000247,72.44343250000384,72.92774270003429,,,,72.94377509999322,71.54358759999741,,,,,,,,right,1,0.874022200005129,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,conjunction,right,25,25,0,right,1,0.6998647999716923,None,,,,,0,25,25,8,72.94377509999322,,,,,,,,,,,,,,,,,72.92817959998501,72.94377509999322,73.42714119999437,73.4971517000231,73.51779310003622,74.23035070003243,,,,,,74.2304328000173,74.24360280000838,74.72853690001648,,,,74.74364360002801,73.51779310003622,,,,,,,,right,1,0.6998647999716923,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,feature,right,26,26,0,right,1,0.5306229999987409,None,,,,,0,26,26,12,74.74364360002801,,,,,,,,,,,,,,,,,74.72948259999976,74.74364360002801,75.22740450000856,75.23978790000547,75.24898370000301,75.79430260002846,,,,,,75.7943721000338,75.80988070002059,76.29413729999214,,,,76.30977490002988,75.24898370000301,,,,,,,,right,1,0.5306229999987409,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,0,conjunction,left,27,27,0,left,1,1.0254307999857701,None,,,,,0,27,27,9,76.30977490002988,,,,,,,,,,,,,,,,,76.2947792999912,76.30977490002988,76.79443489998812,76.82367200002773,76.8322266000323,77.86197289999109,,,,,,77.86217179999221,77.87612620001892,78.35986219998449,,,,78.37603370001307,76.8322266000323,,,,,,,,left,1,1.0254307999857701,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,conjunction,right,28,28,0,right,1,0.5698787999572232,None,,,,,0,28,28,32,78.37603370001307,,,,,,,,,,,,,,,,,78.36009490001015,78.37603370001307,78.85987749998458,78.92725800001062,78.94739119999576,79.52938339998946,,,,,,79.52946580003481,79.54305780003779,80.02636890002759,,,,80.04258280002978,78.94739119999576,,,,,,,,right,1,0.5698787999572232,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,0,conjunction,left,29,29,0,left,1,0.7580443000188097,None,,,,,0,29,29,23,80.04258280002978,,,,,,,,,,,,,,,,,80.02661300002364,80.04258280002978,80.5262615000247,80.58959960000357,80.60898660001112,81.37860170000931,,,,,,81.37867860001279,81.392614100012,81.8763983999961,,,,81.89231110003311,80.60898660001112,,,,,,,,left,1,0.7580443000188097,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,0,feature,left,30,30,0,left,1,0.7406522000092082,None,,,,,0,30,30,29,81.89231110003311,,,,,,,,,,,,,,,,,81.87677229999099,81.89231110003311,82.37587039999198,82.42285390000325,82.45168009999907,83.19715900003212,,,,,,83.19726550002815,83.20883459999459,83.69262410001829,,,,83.70913400000427,82.45168009999907,,,,,,,,left,1,0.7406522000092082,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,conjunction,left,31,31,0,right,0,1.249478000041563,None,,,,,0,31,31,22,83.70913400000427,,,,,,,,,,,,,,,,,83.6929203000036,83.70913400000427,84.19233480002731,84.23084620002192,84.24276079999981,85.4945207000128,,,,,,85.49461390002398,85.50866160000442,85.99190309998812,,,,86.00827560003381,84.24276079999981,,,,,,,,right,0,1.249478000041563,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,1,conjunction,right,32,32,0,right,1,0.6649921000353061,None,,,,,0,32,32,7,86.00827560003381,,,,,,,,,,,,,,,,,85.99205450003501,86.00827560003381,86.49214079999365,86.52881510002771,86.54002810001839,87.2108057999867,,,,,,87.21088890003739,87.22516400000313,87.70898729999317,,,,87.7250888000126,86.54002810001839,,,,,,,,right,1,0.6649921000353061,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,conjunction,right,33,33,0,right,1,0.8595015999744646,None,,,,,0,33,33,20,87.7250888000126,,,,,,,,,,,,,,,,,87.70932910003467,87.7250888000126,88.20846560003702,88.27629770000931,88.29513660003431,89.16371100000106,,,,,,89.16382640000666,89.17467750003561,89.65882220002823,,,,89.67485070001567,88.29513660003431,,,,,,,,right,1,0.8595015999744646,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,feature,right,34,34,0,right,1,0.5309432999929413,None,,,,,0,34,34,0,89.67485070001567,,,,,,,,,,,,,,,,,89.65937270002905,89.67485070001567,90.15823450003518,90.16699250001693,90.17486100003589,90.710008700029,,,,,,90.71015510003781,90.72450700000627,91.20813440001803,,,,91.22466850001365,90.17486100003589,,,,,,,,right,1,0.5309432999929413,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,feature,right,35,35,0,right,1,0.4341442000004463,None,,,,,0,35,35,14,91.22466850001365,,,,,,,,,,,,,,,,,91.20855420001317,91.22466850001365,91.70830150000984,91.75138299999526,91.77056710002944,92.21103609999409,,,,,,92.2111217000056,92.22430649999296,92.70796949998476,,,,92.7373474999913,91.77056710002944,,,,,,,,right,1,0.4341442000004463,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.70814030000474,92.7373474999913,95.72422050003661,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
