7.0209 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
7.0219 	INFO 	Loaded monitor calibration from ['2026_03_19 09:19']
7.3555 	INFO 	Using renderer 'Intel(R) UHD Graphics' for graphics
7.3555 	INFO 	OpenGL version supported by driver is 4..
8.0200 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019CA98CF010>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019CA98CF0D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019CAB47E560>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(560.0), np.float64(240.0)], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.0201 	EXP 	window1: backgroundImage = ''
8.0202 	EXP 	window1: backgroundFit = 'none'
8.0544 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.0712 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.0877 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.1043 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.1207 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.1358 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.1519 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.1683 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.1836 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.1990 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.2140 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.2285 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.2431 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.2576 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.2726 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.2895 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.3056 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.3201 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.3344 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.3492 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.3637 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.3642 	DEBUG 	Uploading Texture Font fontname to graphics card
8.3667 	DEBUG 	Upload of Texture Font fontname complete
8.3951 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4104 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4250 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4254 	DEBUG 	Uploading Texture Font fontname to graphics card
8.4269 	DEBUG 	Upload of Texture Font fontname complete
8.4288 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.4288 	EXP 	window1: recordFrameIntervals = False
8.6863 	EXP 	window1: recordFrameIntervals = True
10.3508 	EXP 	window1: recordFrameIntervals = False
10.3508 	EXP 	Screen (0) actual frame rate measured at 60.32Hz
10.3820 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.3985 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.4145 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.4294 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.4440 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.4588 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.4731 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.4876 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.5026 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.5172 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.5176 	DEBUG 	Uploading Texture Font fontname to graphics card
10.5193 	DEBUG 	Upload of Texture Font fontname complete
10.6352 	INFO 	keyboard.Keyboard is using ptb backend.
10.6352 	EXP 	midterm_project: status = STARTED
10.7942 	EXP 	Created open_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='open_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.8254 	EXP 	Created prac_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='prac_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
