thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_rest.keys,key_rest.rt,key_rest.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,trial.started,key_resp.started,trial.stopped,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,rest_routine.started,rest_routine.stopped,formal_loop.key_rest.keys,rest_text.started,key_rest.started,formal_loop.key_rest.rt,formal_loop.key_rest.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
2,2,0,4,1,conjunction,right,right,1,0.8494176000240259,None,,,,,,,,1,0,1,0,0,2,2,3,,,,,32.588487799977884,,,,,,,,,,,,,,,,,,,32.57217210001545,32.588487799977884,33.072139099997,33.098322900012136,33.10732879996067,33.973650600004476,right,1,0.8494176000240259,None,33.97385909996228,33.99099739996018,35.48811460001161,35.488201699976344,35.50440360000357,35.98846159997629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
3,3,0,24,1,conjunction,right,right,1,1.1511176999774761,None,,,,,,,,1,0,1,0,0,3,3,4,,,,,36.004747200000565,,,,,,,,,,,,,,,,,,,35.98905609996291,36.004747200000565,36.48845850001089,36.562562500010245,36.579966599994805,37.74096049997024,right,1,1.1511176999774761,None,37.74106829997618,37.75362839997979,39.23865650000516,39.23874589998741,39.253608600003645,39.738426199997775,39.253608600003645,39.754065299988724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
4,4,0,4,1,feature,right,right,1,0.6986705999588594,None,,,,,,,,1,0,1,0,0,4,4,0,,,,,39.754065299988724,,,,,,,,,,,,,,,,,,,39.73929029999999,39.754065299988724,40.236694299965166,40.24920889997156,40.25756810000166,40.971495800011326,right,1,0.6986705999588594,None,40.97161199996481,40.986565199971665,42.47039480000967,42.47044070000993,42.48642029997427,42.97074680001242,42.48642029997427,42.98688869999023,40.25756810000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
5,5,0,12,0,feature,left,left,1,1.3508039999869652,None,,,,,,,,1,0,1,0,0,5,5,2,,,,,42.98688869999023,,,,,,,,,,,,,,,,,,,42.971301099983975,42.98688869999023,43.47106089995941,43.506847199983895,43.52032909996342,44.875466500001494,left,1,1.3508039999869652,None,44.87566059996607,44.89122910000151,46.38730589998886,46.38743090000935,46.40313160000369,46.886989999969956,,,43.52032909996342,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
1,0,1,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.904041500005405,46.933031799970195,48.88702199998079,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.88743170001544,48.910545699996874,48.910545699996874,50.53775449999375,space,1.6096303000231273,None,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
0,0,0,12,0,feature,left,,,,,left,1,0.6086582000134513,None,None,,,,,,,,,,,0,0,0,16,50.60219499998493,,,,,,,,,,,,,,,,,,,50.560828499961644,50.60219499998493,51.05247299995972,,,,,,,,,,,51.72208119998686,51.7354129999876,52.21978449996095,,52.23566690000007,,,,,,,,,,,,51.08601119997911,51.09829130000435,51.72194399998989,left,1,0.6086582000134513,None,52.21988639998017,52.21998569997959,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
1,1,0,12,1,feature,right,,,,,right,1,0.46716549998382106,None,None,,,,,,,,,,,0,1,1,1,52.23566690000007,,,,,,,,,,,,,,,,,,,52.220578200009186,52.23566690000007,52.71939509996446,,,,,,,,,,,53.2541941999807,53.26810079999268,53.75236250000307,,53.768755199969746,52.777531899977475,,,,,,,,,,,52.76428489998216,52.777531899977475,53.25407839997206,right,1,0.46716549998382106,None,53.75245500000892,53.752535499981605,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
2,2,0,24,0,feature,left,,,,,left,1,0.4718657999765128,None,None,,,,,,,,,,,0,2,2,5,53.768755199969746,,,,,,,,,,,,,,,,,,,53.7530209000106,53.768755199969746,54.25197819998721,,,,,,,,,,,54.80735939997248,54.81834559998242,55.30223989998922,,55.317882300005294,54.32288310001604,,,,,,,,,,,54.30395759997191,54.32288310001604,54.807218400004786,left,1,0.4718657999765128,None,55.30227519996697,55.30229719995987,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
3,3,0,24,0,conjunction,left,,,,,left,1,0.7679357000160962,None,None,,,,,,,,,,,0,3,3,11,55.317882300005294,,,,,,,,,,,,,,,,,,,55.30243509996217,55.317882300005294,55.801846999966074,,,,,,,,,,,56.657863200001884,56.66812360001495,57.15234289999353,,57.16847689996939,55.888863799977116,,,,,,,,,,,55.87195989995962,55.888863799977116,56.65771960001439,left,1,0.7679357000160962,None,57.15244849998271,57.15253979997942,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
