thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.003036100009921938,0.010259900009259582,0.010259900009259582,1.0461164999869652,space,1.0136903999955393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222149,001,2026-04-19_21h40.45.782,midterm_project,,2026.1.1,59.93532977515899,2026-04-19 21h40.46.034518 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0461836000322364,1.0560228000395,1.0560228000395,2.1071243000333197,space,1.04085990000749,None,,,,,,,,,,,,,,,,,,,,,,222149,001,2026-04-19_21h40.45.782,midterm_project,,2026.1.1,59.93532977515899,2026-04-19 21h40.46.034518 +0800,
0,0,0,12,0,feature,left,left,1,1.4690066000330262,None,0,0,0,0,0,0,0,2,2.128725500020664,,,,,,,,,,,,,,,,,2.1087989000370726,2.10883380001178,2.123722499993164,2.128725500020664,2.6229483000352047,2.6644218000001274,2.677019900002051,4.158552500011865,left,1,1.4690066000330262,None,4.1586919000255875,4.179248600034043,5.671959800005425,5.672017600038089,5.688556800014339,6.172636000032071,,,,222149,001,2026-04-19_21h40.45.782,midterm_project,,2026.1.1,59.93532977515899,2026-04-19 21h40.46.034518 +0800,
1,1,0,4,1,feature,right,right,1,1.551275399979204,None,0,0,0,0,0,1,1,0,6.1887935000122525,,,,,,,,,,,,,,,,,,,6.173247300030198,6.1887935000122525,6.672307000029832,6.690043799986597,6.699125199986156,8.257910299987998,right,1,1.551275399979204,None,8.258151300018653,8.279054799990263,9.771751800028142,9.771837899985258,9.788188999984413,10.271583500027191,,,,222149,001,2026-04-19_21h40.45.782,midterm_project,,2026.1.1,59.93532977515899,2026-04-19 21h40.46.034518 +0800,
2,2,0,4,1,conjunction,right,right,1,0.8059493000037037,None,0,0,0,0,0,2,2,3,10.288042800035328,,,,,,,,,,,,,,,,,,,10.271954099996947,10.288042800035328,10.772418999986257,10.808554599992931,10.816619499993976,11.638646100007463,right,1,0.8059493000037037,None,11.63872960000299,11.653988700010814,13.139091600023676,13.139174400013871,13.154201500001363,13.63784590002615,13.154201500001363,13.65408100001514,,222149,001,2026-04-19_21h40.45.782,midterm_project,,2026.1.1,59.93532977515899,2026-04-19 21h40.46.034518 +0800,
3,3,0,24,1,feature,right,right,1,0.9528020999860018,None,0,0,0,0,0,3,3,1,13.65408100001514,,,,,,,,,,,,,,,,,,,13.638222100038547,13.65408100001514,14.137566599994898,14.175355300016236,14.193505000032019,15.156527400016785,right,1,0.9528020999860018,None,15.15659530000994,15.170642299985047,16.654756300034933,16.654825300036464,16.67036129999906,17.154650799988303,16.67036129999906,17.170881900005043,14.193505000032019,222149,001,2026-04-19_21h40.45.782,midterm_project,,2026.1.1,59.93532977515899,2026-04-19 21h40.46.034518 +0800,
4,4,0,12,0,conjunction,left,left,1,1.0218523999792524,None,0,0,0,0,0,4,4,5,17.170881900005043,,,,,,,,,,,,,,,,,,,17.15520340000512,17.170881900005043,17.653874100011308,17.70174789999146,17.71291410003323,18.74002730002394,left,1,1.0218523999792524,None,18.740163300011773,18.75646850001067,20.25355690001743,20.253661099995952,20.269764100026805,20.753835099982098,,,17.71291410003323,222149,001,2026-04-19_21h40.45.782,midterm_project,,2026.1.1,59.93532977515899,2026-04-19 21h40.46.034518 +0800,
5,5,0,24,1,conjunction,right,,,,,,,,,0,5,5,4,20.77055030001793,,,,,,,,,,,,,,,,,,,20.754402599995956,20.77055030001793,21.25386709999293,21.341057599987835,21.360239600006025,,,,,,,,,,,,,,,,,,,,,,,
