thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.0029012999730184674,0.008985499967820942,0.008985499967820942,3.814373799948953,space,3.7888935999944806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8144322999869473,3.8251602999516763,3.8251602999516763,5.143639699963387,space,1.3116100000333972,None,,,,,,,,,,,,,,,,,,,,,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
0,0,0,12,0,conjunction,left,left,1,1.3143760000239126,None,0,0,0,0,0,0,0,5,5.167348299990408,,,,,,,,,,,,,,,,,5.14640359999612,5.146442600002047,5.162999699998181,5.167348299990408,5.658094399957918,5.710275299963541,5.721307999978308,7.044071299955249,left,1,1.3143760000239126,None,7.044200899952557,7.067428599984851,8.55752739997115,8.557595299964305,8.574152299959678,9.05785789998481,,,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
1,1,0,24,1,feature,right,left,0,0.7268643000279553,None,0,0,0,0,0,1,1,1,9.074370399990585,,,,,,,,,,,,,,,,,,,9.058367199962959,9.074370399990585,9.557331199990585,9.591173699998762,9.609641099988949,10.347000899957493,left,0,0.7268643000279553,None,10.34709880000446,10.360742099990603,11.857815099996515,11.857917499961331,11.87428170000203,12.35741939995205,,,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
2,2,0,12,0,feature,left,left,1,0.937609699962195,None,0,0,0,0,0,2,2,2,12.37385939998785,,,,,,,,,,,,,,,,,,,12.357810499961488,12.37385939998785,12.857762400002684,12.898706799955107,12.911296999955084,13.860385499952827,left,1,0.937609699962195,None,13.86053509998601,13.884161299967673,15.374389899952803,15.374507099972107,15.390464500000235,15.873757699970156,,,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
3,3,0,24,1,conjunction,right,left,0,0.3983956000301987,None,0,0,0,0,0,3,3,4,15.89022359997034,,,,,,,,,,,,,,,,,,,15.87420869997004,15.89022359997034,16.373916399956215,16.456209199968725,16.474438299948815,16.877227199962363,left,0,0.3983956000301987,None,16.877361099992413,16.889636199979577,18.374485299980734,18.37458839995088,18.389619599969592,18.872793199960142,18.389619599969592,18.889182099956088,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
4,4,0,4,1,feature,right,left,0,0.5955330000142567,None,0,0,0,0,0,4,4,0,18.889182099956088,,,,,,,,,,,,,,,,,,,18.873020700004417,18.889182099956088,19.373925999971107,19.39663400000427,19.405674099980388,20.009578999946825,left,0,0.5955330000142567,None,20.009809599956498,20.034496199979912,21.522924199991394,21.52300279994961,21.53968759998679,22.02313999994658,,,19.405674099980388,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
5,5,0,4,1,conjunction,right,right,1,0.7764636999927461,None,0,0,0,0,0,5,5,3,22.03958959999727,,,,,,,,,,,,,,,,,,,22.023736299946904,22.03958959999727,22.523407899949234,22.5494694999652,22.559190200001467,23.339856799982954,right,1,0.7764636999927461,None,23.339960199955385,23.35586409998359,24.840904999990016,24.84101669996744,24.855886699981056,25.3400752999587,24.855886699981056,25.384951899992302,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.353963100002147,25.384951899992302,27.355535299982876,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
0,0,0,24,1,conjunction,right,left,0,0.7394238999695517,None,1,0,1,0,0,0,0,4,27.374169099959545,,,,,,,,,,,,,,,,,27.355845899961423,27.35588099999586,27.37058289995184,27.374169099959545,27.87158619996626,27.940813899971545,27.96051019994775,28.70935619994998,left,0,0.7394238999695517,None,28.709472199960146,28.723105099983513,30.221830199996475,30.221912499982864,30.238344399956986,30.72201099997619,,,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
1,1,0,4,1,feature,right,left,0,0.5369997000088915,None,1,0,1,0,0,1,1,0,30.737904399982654,,,,,,,,,,,,,,,,,,,30.722632899996825,30.737904399982654,31.222454399976414,31.241304799972568,31.25074869999662,31.789833599992562,left,0,0.5369997000088915,None,31.789963599992916,31.80412599997362,33.288739199982956,33.2888078999822,33.30465069995262,33.79900599998655,33.30465069995262,,,,,,661496,001,2026-04-19_21h18.42.466,midterm_project,,2026.1.1,60.169883647198596,2026-04-19 21h18.42.871159 +0800,
2,2,0,24,1,feature,right,,,,,,,,,0,2,2,1,33.805640499980655,,,,,,,,,,,,,,,,,,,33.7992487999727,33.805640499980655,34.341717100003734,34.37541099998634,34.401714199979324,,,,,,,,,,,,,,,,,,,,,,,,,,
