set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,fix_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
4,1,conjunction,right,1,1,0,right,1,1.269866999995429,None,,,,,0,1,1,6,38.59678399999393,,,,,,,,,,,,,,,,,38.58566459995927,38.59678399999393,39.08384340000339,39.0960761999595,39.1122553999885,40.38477810000768,,,,,,,,,,,,,,,right,1,1.269866999995429,None,39.1122553999885,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,conjunction,right,2,2,0,right,1,1.1549612999660894,None,,,,,0,2,2,8,40.396620300016366,,,,,,,,,,,,,,,,,40.38501129997894,40.396620300016366,40.88607599999523,40.95423789997585,40.979126999969594,42.14045139995869,,,,,,,,,,,,,,,right,1,1.1549612999660894,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,feature,right,3,3,0,right,1,1.2870277000474744,None,,,,,0,3,3,2,42.14592949999496,,,,,,,,,,,,,,,,,42.14060929999687,42.14592949999496,42.63212650001515,42.669132100010756,42.69507909996901,43.984992299985606,,,,,,,,,,,,,,,right,1,1.2870277000474744,None,42.69507909996901,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,0,feature,left,4,4,0,left,1,0.8625462999916635,None,,,,,0,4,4,29,43.99580380000407,,,,,,,,,,,,,,,,,43.98518580000382,43.99580380000407,44.48188829998253,44.52000219997717,44.54466630000388,45.41908590000821,,,,,,,,,,,,,,,left,1,0.8625462999916635,None,44.54466630000388,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,0,conjunction,left,5,5,0,None,0,,,,,,,0,5,5,11,45.42892480001319,,,,,,,,,,,,,,,,,45.41928919998463,45.42892480001319,45.916824299958535,45.984001700009685,46.01192620000802,47.93110429996159,,,,,,,,,,,,,,,None,0,,,46.01192620000802,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,1,feature,right,6,6,0,left,0,1.1922640000120737,None,,,,,0,6,6,25,47.94540719996439,,,,,,,,,,,,,,,,,47.93126390001271,47.94540719996439,48.434265399992,48.45951959997183,48.478020999988075,49.68254569999408,,,,,,,,,,,,,,,left,0,1.1922640000120737,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,0,feature,left,7,7,0,left,1,1.2007758999825455,None,,,,,0,7,7,5,49.695344700012356,,,,,,,,,,,,,,,,,49.682742699980736,49.695344700012356,50.18152869999176,50.21691789996112,50.24420519999694,51.45082359999651,,,,,,,,,,,,,,,left,1,1.2007758999825455,None,50.24420519999694,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,1,feature,right,8,8,0,None,0,,,,,,,0,8,8,1,51.461733100004494,,,,,,,,,,,,,,,,,51.45101329998579,51.461733100004494,51.95045140001457,51.97514950000914,51.99493419995997,53.96366509998916,,,,,,,,,,,,,,,None,0,,,51.99493419995997,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,0,conjunction,left,9,9,0,None,0,,,,,,,0,9,9,10,53.977886500011664,,,,,,,,,,,,,,,,,53.963835900009144,53.977886500011664,54.46614989999216,54.503865299979225,54.52676039998187,56.464412299974356,,,,,,,,,,,,,,,None,0,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,1,conjunction,right,10,10,0,None,0,,,,,,,0,10,10,31,56.477460799971595,,,,,,,,,,,,,,,,,56.4646378000034,56.477460799971595,56.965268999978434,56.99873519997345,57.026483899971936,58.96328500000527,,,,,,,,,,,,,,,None,0,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
