set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,fb_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,fix_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
4,1,feature,right,1,1,0,right,1,0.9134132000035606,None,,,,,0,1,1,0,31.101247799990233,,,,,,,,,,,,,,,,,31.08808809996117,31.101247799990233,31.58937479997985,31.601960300002247,31.616784199955873,32.537422199966386,,,,,,,,,,,,,,,,right,1,0.9134132000035606,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,0,conjunction,left,2,2,0,left,1,1.3474181999918073,None,,,,,0,2,2,11,32.55036709998967,,,,,,,,,,,,,,,,,32.53763119998621,32.55036709998967,33.03704619995551,33.09774749999633,33.13270989997545,34.48964119999437,,,,,,,,,,,,,,,,left,1,1.3474181999918073,None,33.13270989997545,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,0,feature,left,3,3,0,left,1,0.9272978999651968,None,,,,,0,3,3,27,34.50002079998376,,,,,,,,,,,,,,,,,34.48982229997637,34.50002079998376,34.98621569998795,34.992767499992624,35.01553849998163,35.955564000003505,,,,,,,,,,,,,,,,left,1,0.9272978999651968,None,35.01553849998163,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,0,feature,left,4,4,0,left,1,0.5984438000014052,None,,,,,0,4,4,17,35.96693769999547,,,,,,,,,,,,,,,,,35.95586409996031,35.96693769999547,36.45521569997072,36.496633999980986,36.5323958999943,37.14202819997445,,,,,,,,,,,,,,,,left,1,0.5984438000014052,None,36.5323958999943,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,1,conjunction,right,5,5,0,right,1,0.6516686999821104,None,,,,,0,5,5,18,37.15024749998702,,,,,,,,,,,,,,,,,37.14229549997253,37.15024749998702,37.63804230000824,37.651527799956966,37.66564919997472,38.32072209997568,,,,,,,,,,,,,,,,right,1,0.6516686999821104,None,37.66564919997472,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,0,feature,left,6,6,0,left,1,0.918232700030785,None,,,,,0,6,6,15,38.33319470001152,,,,,,,,,,,,,,,,,38.3209380999906,38.33319470001152,38.820416199974716,38.83006149996072,38.84897429996636,39.77075359999435,,,,,,,,,,,,,,,,left,1,0.918232700030785,None,38.84897429996636,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,1,conjunction,right,7,7,0,right,1,1.7604362000129186,None,,,,,0,7,7,31,39.783090899989475,,,,,,,,,,,,,,,,,39.77098480000859,39.783090899989475,40.2703879000037,40.307439299998805,40.3317812999594,42.10301029996481,,,,,,,,,,,,,,,,right,1,1.7604362000129186,None,40.3317812999594,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,1,feature,right,8,8,0,left,0,0.6896617000456899,None,,,,,0,8,8,2,42.11585699999705,,,,,,,,,,,,,,,,,42.10318609996466,42.11585699999705,42.60262169997441,42.64321429998381,42.66518319997704,43.35712999996031,,,,,,,,,,,,,,,,left,0,0.6896617000456899,None,42.66518319997704,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,conjunction,left,9,9,0,right,0,0.9395997000392526,None,,,,,0,9,9,10,43.367738600005396,,,,,,,,,,,,,,,,,43.35737079998944,43.367738600005396,43.86896729998989,43.90059229999315,43.91516059997957,44.871499500004575,,,,,,,,,,,,,,,,right,0,0.9395997000392526,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,feature,left,10,10,0,left,1,0.8027462000027299,None,,,,,0,10,10,28,44.88209159998223,,,,,,,,,,,,,,,,,44.871741999988444,44.88209159998223,45.37253819999751,45.39940349996323,45.414608099963516,46.22216889995616,,,,,,,,,,,,,,,,left,1,0.8027462000027299,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,1,conjunction,right,11,11,0,right,1,0.9323177999467589,None,,,,,0,11,11,30,46.23211209999863,,,,,,,,,,,,,,,,,46.222424699983094,46.23211209999863,46.719069299986586,46.729470299964305,46.74779669998679,47.686076499987394,,,,,,,,,,,,,,,,right,1,0.9323177999467589,None,46.74779669998679,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
