set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fix_text.stopped,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,feature,right,12,12,0,right,1,0.6483522000489756,None,,,,,0,12,12,13,50.929755299992394,,,,,,,,,,,,,,,,,50.91523129999405,50.929755299992394,51.45428399997763,51.41352509998251,51.44297169998754,51.45428399997763,52.11558220000006,,,,,,,,52.11569479998434,52.12920839997241,52.613346299971454,,52.62939560000086,,,,,,,,right,1,0.6483522000489756,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,0,conjunction,left,13,13,0,left,1,0.642852800025139,None,,,,,0,13,13,34,52.62939560000086,,,,,,,,,,,,,,,,,52.61371909995796,52.62939560000086,53.17221009999048,53.11338329996215,53.16037870000582,53.17221009999048,53.81708010000875,,,,,,,,53.817234199959785,53.82909249997465,54.31341699999757,,54.329357100010384,,,,,,,,left,1,0.642852800025139,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,conjunction,right,14,14,0,right,1,0.5804933999897912,None,,,,,0,14,14,20,54.329357100010384,,,,,,,,,,,,,,,,,54.3138697000104,54.329357100010384,54.897463399975095,54.812769799958915,54.87812509998912,54.897463399975095,55.48284740000963,,,,,,,,55.48292569996556,55.49571869999636,55.97913160000462,,55.995308799960185,,,,,,,,right,1,0.5804933999897912,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,1,feature,right,15,15,0,right,1,0.4807122999918647,None,,,,,0,15,15,25,55.995308799960185,,,,,,,,,,,,,,,,,55.9793983999989,55.995308799960185,56.53443200001493,56.48047559999395,56.52097509999294,56.53443200001493,57.0323069000151,,,,,,,,57.03245699999388,57.04541249998147,57.52968179999152,,57.54590919998009,,,,,,,,right,1,0.4807122999918647,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,1,conjunction,right,16,16,0,right,1,0.8890173999825493,None,,,,,0,16,16,31,57.54590919998009,,,,,,,,,,,,,,,,,57.53023490001215,57.54590919998009,58.075811599963345,58.02871199999936,58.06370989995776,58.075811599963345,58.980756099976134,,,,,,,,58.98085529997479,58.99520860001212,59.479189999983646,,59.49519009998767,,,,,,,,right,1,0.8890173999825493,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,feature,right,17,17,0,right,1,0.6287701000110246,None,,,,,0,17,17,14,59.49519009998767,,,,,,,,,,,,,,,,,59.4796076999628,59.49519009998767,60.04893699998502,59.97909679997247,60.03028159996029,60.04893699998502,60.683538599987514,,,,,,,,60.68366249999963,60.69518929999322,61.17853350000223,,61.194630299985874,,,,,,,,right,1,0.6287701000110246,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,feature,right,18,18,0,right,1,0.6165830999962054,None,,,,,0,18,18,26,61.194630299985874,,,,,,,,,,,,,,,,,61.17879869998433,61.194630299985874,61.748563200002536,61.67998600000283,61.7298138999613,61.748563200002536,62.367063499987125,,,,,,,,62.36720009997953,62.37830059998669,62.862621299980674,,62.878048999991734,,,,,,,,right,1,0.6165830999962054,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,conjunction,right,19,19,0,right,1,1.0473173999926075,None,,,,,0,19,19,30,62.878048999991734,,,,,,,,,,,,,,,,,62.86330510000698,62.878048999991734,63.394400399993174,63.36258000001544,63.3860246000113,63.394400399993174,64.44782479997957,,,,,,,,64.44799529999727,64.46090459998231,64.94494389998727,,64.9612639999832,,,,,,,,right,1,1.0473173999926075,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,feature,right,20,20,0,right,1,0.7591276000021026,None,,,,,0,20,20,24,64.9612639999832,,,,,,,,,,,,,,,,,64.94529730000068,64.9612639999832,65.4686653999961,65.44518599996809,65.4607088000048,65.4686653999961,66.23012749996269,,,,,,,,66.23033319995739,66.24419789999956,66.72837659996003,,66.74406799999997,,,,,,,,right,1,0.7591276000021026,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,0,conjunction,left,21,21,0,left,1,0.7669532999861985,None,,,,,0,21,21,21,66.74406799999997,,,,,,,,,,,,,,,,,66.72892099997262,66.74406799999997,67.26039849995868,67.22839329997078,67.25362829997903,67.26039849995868,68.02890279999701,,,,,,,,68.02899479999905,68.04384329996537,68.52909889997682,,68.54445729998406,,,,,,,,left,1,0.7669532999861985,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
