set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,fb_text.stopped,feedback.stopped,ITI.started,ITI_text.started,ITI_text.stopped,ITI.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.0032608999754302204,0.010240399977192283,0.010240399977192283,1.323723900015466,space,1.2848522000131197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3238434999948367,1.3377765999757685,1.3377765999757685,3.520636999979615,space,2.180188999976963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,conjunction,right,0,0,0,right,1,0.9098693000269122,None,0,0,0,3,,,,,3.542143800004851,,,,,,,,,,,,,,,,,3.5377235999912955,3.542143800004851,4.036163099983241,4.054841200006194,4.060635200003162,4.987734600028489,right,1,0.9098693000269122,None,4.9878619000082836,5.003651299979538,6.502393800008576,6.487276000028942,6.487351100018714,6.502393800008576,7.002896399993915,6.986707400006708,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,feature,left,1,1,0,left,1,0.836172399984207,None,0,1,1,2,,,,,7.002896399993915,,,,,,,,,,,,,,,,,6.987176899972837,7.002896399993915,7.487186799990013,7.521537900029216,7.534626599983312,8.376721400010865,left,1,0.836172399984207,None,8.376935800013598,8.392556299979333,,9.885688900016248,9.88575050001964,9.901952699990943,,10.38546189997578,7.534626599983312,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,feature,right,2,2,0,right,1,0.6996600999846123,None,0,2,2,0,,,,,10.40192420000676,,,,,,,,,,,,,,,,,10.385813999979291,10.40192420000676,10.88583899999503,10.901177800027654,10.908312599989586,11.62042009999277,right,1,0.6996600999846123,None,11.620567300007679,11.635171499976423,13.134983800002374,13.119316899974365,13.119374700007029,13.134983800002374,13.635240699979477,13.61898069997551,,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,conjunction,left,3,3,0,left,1,1.4141398000065237,None,0,3,3,5,,,,,13.635240699979477,,,,,,,,,,,,,,,,,13.619349399989005,13.635240699979477,14.118343400012236,14.154155700001866,14.16574359999504,15.58615769998869,left,1,1.4141398000065237,None,15.586224799975753,15.601404000015464,17.101635599974543,17.085903199971654,17.08598149998579,17.101635599974543,17.60116120002931,17.584884300013073,14.16574359999504,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,feature,right,4,4,0,right,1,1.0059158999938518,None,0,4,4,1,,,,,17.60116120002931,,,,,,,,,,,,,,,,,17.58528290002141,17.60116120002931,18.08511719998205,18.14366699999664,18.162292400025763,19.170592800015584,right,1,1.0059158999938518,None,19.17067690001568,19.18409649998648,20.68399719998706,20.66806270001689,20.668115100008436,20.68399719998706,21.18414450000273,21.168978600006085,18.162292400025763,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,conjunction,right,5,5,0,right,1,0.738496000005398,None,0,5,5,4,,,,,21.18414450000273,,,,,,,,,,,,,,,,,21.169451800000388,21.18414450000273,21.66737809998449,21.735181200027,21.755170900025405,22.504139599972405,right,1,0.738496000005398,None,22.504230900027324,22.51691300002858,24.01682149997214,24.001139700005297,24.00120270001935,24.01682149997214,24.518836800009012,24.50163299997803,21.755170900025405,,,,,,,,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50208599999314,24.518836800009012,24.518836800009012,32.333461400005035,space,7.800670900032856,None,,,,,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,conjunction,right,0,0,0,right,1,0.6167806999874301,None,,,,,0,0,0,18,32.35255100001814,,,,,,,,,,,,,,,,,32.34917200001655,32.35255100001814,32.84976569999708,32.86965720000444,32.87677049997728,33.50015879998682,,,,,,,,,33.500282799999695,33.51577150000958,34.015710500010755,33.99957960000029,,,,,,,,,right,1,0.6167806999874301,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
