set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,True,0.009035700000822544,0.023462099954485893,0.023462099954485893,1.717676299973391,space,1.6846958000096492,None,,,,,,,,,,,pilot,001,2026-04-15_11h23.41.347,midterm_project,,2026.1.1,60.14498549975279,2026-04-15 11h23.41.602452 +0800,
,,,,,,,,,,,,,,,,,,,,,1.717743499961216,1.740027099964209,1.740027099964209,3.8098711000056937,space,2.0550091000040993,None,,,,pilot,001,2026-04-15_11h23.41.347,midterm_project,,2026.1.1,60.14498549975279,2026-04-15 11h23.41.602452 +0800,
12,0,feature,left,0,0,0,0,0,0,2,3.83938149997266,,,,,,,,,,,,,,,,,3.820420599950012,3.83938149997266,4.3261945999693125,,,,,,,,,
