set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,1,conjunction,right,27,27,0,right,1,0.7557918000384234,None,,,,,0,27,27,32,80.28734969999641,,,,,,,,,,,,,,,,,80.2714853999787,80.28734969999641,80.77057260001311,80.84324449999258,80.86346110003069,81.62435559998266,,,,,,,,81.6244616000331,81.63627279998036,82.1203493999783,,82.13660109997727,80.86346110003069,,,,,,,,right,1,0.7557918000384234,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
24,0,feature,left,28,28,0,left,1,0.7033155999961309,None,,,,,0,28,28,17,82.13660109997727,,,,,,,,,,,,,,,,,82.1207354000071,82.13660109997727,82.62131850002334,82.68455559998984,82.70339530002093,83.42285899998387,,,,,,,,83.42295690003084,83.43628209998133,83.91957430000184,,83.93618950003292,82.70339530002093,,,,,,,,left,1,0.7033155999961309,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
12,0,feature,left,29,29,0,left,1,0.4576987000182271,None,,,,,0,29,29,16,83.93618950003292,,,,,,,,,,,,,,,,,83.91979359998368,83.93618950003292,84.42111799999839,84.46038080001017,84.47466280002845,84.93859149998752,,,,,,,,84.93869640002958,84.95286770001985,85.43764680001186,,85.4534131999826,84.47466280002845,,,,,,,,left,1,0.4576987000182271,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
4,1,conjunction,right,30,30,0,right,1,1.2009746000403538,None,,,,,0,30,30,18,85.4534131999826,,,,,,,,,,,,,,,,,85.43847520003328,85.4534131999826,85.93774149997625,85.9606242000009,85.97023630002514,87.18702670000494,,,,,,,,87.18711870000698,87.20248199999332,87.68645670003025,,87.70278170000529,85.97023630002514,,,,,,,,right,1,1.2009746000403538,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
4,1,feature,right,31,31,0,right,1,0.6540854999911971,None,,,,,0,31,31,12,87.70278170000529,,,,,,,,,,,,,,,,,87.68686660000822,87.70278170000529,88.18755249999231,88.20668240002124,88.21516580000753,88.87094410002464,,,,,,,,88.87112860003253,88.88537169998745,89.36921550001716,,89.38555080001242,88.21516580000753,,,,,,,,right,1,0.6540854999911971,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
12,1,conjunction,right,32,32,0,right,1,0.8041204999899492,None,,,,,0,32,32,31,89.38555080001242,,,,,,,,,,,,,,,,,89.36944450001465,89.38555080001242,89.86886059999233,89.90392060001614,89.91559759998927,90.72220900002867,,,,,,,,90.72233520000009,90.7353503999766,91.22056869999506,,91.23592379997717,89.91559759998927,,,,,,,,right,1,0.8041204999899492,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
24,0,feature,left,33,33,0,left,1,0.5206547999987379,None,,,,,0,33,33,29,91.23592379997717,,,,,,,,,,,,,,,,,91.22131130000344,91.23592379997717,91.71980890003033,91.76760100002866,91.7864221999771,92.32222869998077,,,,,,,,92.32232289999956,92.33494510001037,92.81951880000997,,92.83510949998163,91.7864221999771,,,,,,,,left,1,0.5206547999987379,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
12,0,conjunction,left,34,34,0,left,1,1.3016197999822907,None,,,,,0,34,34,34,92.83510949998163,,,,,,,,,,,,,,,,,92.8199319000123,92.83510949998163,93.31867000000784,93.35683649999555,93.36832479998702,94.6722798999981,,,,,,,,94.67242630000692,94.6848063999787,95.16965529997833,,95.1854227000149,93.36832479998702,,,,,,,,left,1,1.3016197999822907,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
4,0,conjunction,left,35,35,0,left,1,1.3820730000152253,None,,,,,0,35,35,33,95.1854227000149,,,,,,,,,,,,,,,,,95.17038419999881,95.1854227000149,95.66876109997975,95.69525140000042,95.70298360002926,97.08873529999983,,,,,,,,97.08892549999291,97.10096339997835,97.58573579997756,,97.62183050002204,95.70298360002926,,,,,,,,left,1,1.3820730000152253,None,,,,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.58607820002362,97.62183050002204,100.60108789999504,2,001,2026-04-15_21h59.49.556,midterm_project,,2026.1.1,59.9599108194588,2026-04-15 21h59.50.089769 +0800,
