thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fix_text.stopped,fb_text.stopped,ITI_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.019976000010501593,0.034630100009962916,0.034630100009962916,2.242505100031849,space,2.1914913000073284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2425513000343926,2.2515216000028886,2.2515216000028886,4.404568800004199,space,2.1491742999642156,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
0,0,0,12,0,conjunction,left,left,1,1.6714216999826021,None,0,0,0,0,0,0,0,5,4.450383100018371,,,,,,,,,,,,,,,,,4.443236700026318,4.450383100018371,4.92091350001283,4.997458700032439,5.01688449998619,6.688865500036627,left,1,1.6714216999826021,None,6.688935599988326,6.716090600006282,8.204142800008412,8.204182700021192,8.217371399980038,8.689898199983872,,,,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
1,1,0,24,1,conjunction,right,right,1,0.3917541999835521,None,0,0,0,0,0,1,1,4,8.701206199999433,,,,,,,,,,,,,,,,,8.690128799993545,8.701206199999433,9.187834299984388,9.248994700028561,9.283638600027189,9.688553499989212,right,1,0.3917541999835521,None,9.688616100000218,9.699860399996396,11.188405000022613,11.188447099993937,11.200622200034559,11.687393000000156,9.283638600027189,11.200622200034559,11.70064860000275,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
2,2,0,4,1,conjunction,right,left,0,0.5850589000037871,None,0,0,0,0,0,2,2,3,11.70064860000275,,,,,,,,,,,,,,,,,11.687610000022687,11.70064860000275,12.18714589998126,12.197225600015372,12.216385399980936,12.804754799988586,left,0,0.5850589000037871,None,12.804834300011862,12.83241299999645,14.321067699987907,14.321114899998065,14.333770900033414,14.82030650001252,12.216385399980936,,,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
3,3,0,4,1,feature,right,right,1,0.3683078999747522,None,0,0,0,0,0,3,3,0,14.83363880001707,,,,,,,,,,,,,,,,,14.820517699990887,14.83363880001707,15.30509079998592,15.315531400032341,15.332749699999113,15.703216299996711,right,1,0.3683078999747522,None,15.703279300010763,15.716769299993757,17.203298899985384,17.203353099990636,17.216541400004644,17.70384010003181,,17.216541400004644,,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
4,4,0,24,1,feature,right,left,0,0.7727893000119366,None,0,0,0,0,0,4,4,1,17.71608310000738,,,,,,,,,,,,,,,,,17.70405360002769,17.71608310000738,18.203377400001045,18.24422940000659,18.265754199994262,19.039137599989772,left,0,0.7727893000119366,None,19.03921600000467,19.049292400013655,20.53680310002528,20.53683880000608,20.549525899987202,21.03658880002331,18.265754199994262,20.549525899987202,21.05005359998904,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
5,5,0,12,0,feature,left,right,0,0.4689005999825895,None,0,0,0,0,0,5,5,2,21.05005359998904,,,,,,,,,,,,,,,,,21.036787200020626,21.05005359998904,21.53694489999907,21.56088110001292,21.58211990003474,22.05497609998565,right,0,0.4689005999825895,None,22.055070300004445,22.081012099981308,23.5689617000171,23.569005900004413,23.58256910002092,24.06896400003461,21.58211990003474,,,pilot,001,2026-04-19_10h31.27.008,midterm_project,,2026.1.1,60.07781279513702,2026-04-19 10h31.27.251394 +0800,
