set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,fix_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,0,feature,left,9,9,0,right,0,0.7885255000001052,None,,,,,0,9,9,17,119.25861830000031,,,,,,,,,,,,,,,,,119.24320970000008,119.25861830000031,119.7436185000006,119.79426570000032,119.81447819999994,120.61353620000045,,,,,,120.61365780000051,120.62450230000104,121.10892070000045,,,,,,,,,,right,0,0.7885255000001052,None,121.1253069000013,119.81447819999994,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,conjunction,left,10,10,0,None,0,,,,,,,0,10,10,22,121.1253069000013,,,,,,,,,,,,,,,,,121.1093587000014,121.1253069000013,121.60871469999984,121.66178730000138,121.67465790000097,123.62529370000084,,,,,,123.62542680000115,123.64172830000098,124.12649330000022,,,,,,,,,,None,0,,,,121.67465790000097,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,0,conjunction,left,11,11,0,None,0,,,,,,,0,11,11,21,124.1421749000001,,,,,,,,,,,,,,,,,124.12697130000015,124.1421749000001,124.62493570000152,124.6538915000001,124.66308130000107,126.62457180000092,,,,,,126.62470350000149,126.64126700000088,127.12402590000056,,,,,,,,,,None,0,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,0,feature,left,12,12,0,right,0,0.5109577000002901,None,,,,,0,12,12,5,127.14059040000029,,,,,,,,,,,,,,,,,127.12441790000048,127.14059040000029,127.62406170000031,127.66953550000107,127.69888930000161,128.2126446000002,,,,,,128.21277010000085,128.22341940000115,128.70802060000096,,,,,,,,,,right,0,0.5109577000002901,None,128.72402390000025,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,1,conjunction,right,13,13,0,left,0,0.7003574999998818,None,,,,,0,13,13,19,128.72402390000025,,,,,,,,,,,,,,,,,128.7083756000011,128.72402390000025,129.20786360000056,129.2641259000011,129.27685900000142,129.9935811000014,,,,,,129.9937039000015,130.00671070000135,130.49339320000036,,,,,,,,,,left,0,0.7003574999998818,None,130.50915500000156,129.27685900000142,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,0,feature,left,14,14,0,right,0,0.4617469999993773,None,,,,,0,14,14,29,130.50915500000156,,,,,,,,,,,,,,,,,130.49400100000094,130.50915500000156,131.00699859999986,131.05919990000075,131.07973500000116,131.54656740000064,,,,,,131.54669130000002,131.5563406000001,132.04110460000084,,,,,,,,,,right,0,0.4617469999993773,None,132.05739920000087,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,feature,left,15,15,0,left,1,0.935741399998733,None,,,,,0,15,15,28,132.05739920000087,,,,,,,,,,,,,,,,,132.04145020000033,132.05739920000087,132.5409012,132.58166690000144,132.59473960000105,133.5444378000011,,,,,,133.5445845000013,133.55666060000112,134.0410625000004,,,,,,,,,,left,1,0.935741399998733,None,134.05848610000066,132.59473960000105,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,0,conjunction,left,16,16,0,left,1,0.96695550000004,None,,,,,0,16,16,33,134.05848610000066,,,,,,,,,,,,,,,,,134.04152179999983,134.05848610000066,134.5578561000002,134.58427380000103,134.59334310000122,135.57668700000067,,,,,,135.57689860000028,135.5899212000004,136.0734511999999,,,,,,,,,,left,1,0.96695550000004,None,136.08982190000097,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,0,conjunction,left,17,17,0,right,0,0.7666906000013114,None,,,,,0,17,17,9,136.08982190000097,,,,,,,,,,,,,,,,,136.0737734000013,136.08982190000097,136.5734678000008,136.60180159999982,136.61120910000136,137.39209140000094,,,,,,137.3922386000013,137.40621680000004,137.88961740000013,,,,,,,,,,right,0,0.7666906000013114,None,137.90563480000128,136.61120910000136,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,conjunction,left,18,18,0,left,1,0.6107452999985981,None,,,,,0,18,18,34,137.90563480000128,,,,,,,,,,,,,,,,,137.88989980000042,137.90563480000128,138.38936380000087,138.43433370000093,138.4468878000007,139.05911019999985,,,,,,139.0592370000013,139.07277050000084,139.5578086000005,,,,,,,,,,left,1,0.6107452999985981,None,139.5747879999999,138.4468878000007,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
