thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fix_text.stopped,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.02046410000184551,0.03476170002250001,0.03476170002250001,2.8257883000187576,space,2.7775719999917783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.825838500051759,2.8350475000333972,2.8350475000333972,4.174578400037717,space,1.3283658000291325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
1,1,0,12,0,conjunction,left,left,1,0.9158544999663718,None,1,0,1,0,0,1,1,5,29.91508210002212,,,,,,,,,,,,,,,,,29.901555699994788,29.901571199996397,29.9015932000475,29.91508210002212,,30.401661000039894,30.43424040003447,30.447614300006535,31.368224000034388,left,1,0.9158544999663718,None,31.36828490003245,31.381725700048264,32.86914100003196,32.8691810000455,32.881783100019675,33.369232000026386,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
2,2,0,4,1,conjunction,right,left,0,0.641436200006865,None,1,0,1,0,0,2,2,3,33.38145300000906,,,,,,,,,,,,,,,,,33.36948950000806,33.36950850003632,33.36953419999918,33.38145300000906,33.897317500028294,33.86903280002298,33.88020390004385,33.897317500028294,34.551504100032616,left,0,0.641436200006865,None,34.551563500019256,34.56451990001369,36.05058740003733,36.050620800000615,36.064147200027946,36.560674000007566,36.064147200027946,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
3,3,0,24,1,conjunction,right,right,1,0.7037505999905989,None,1,0,1,0,0,3,3,4,36.58090570004424,,,,,,,,,,,,,,,,,36.561097700032406,36.56113660003757,36.56119130004663,36.58090570004424,,37.06654200004414,37.123512500023935,37.146808799996506,37.851840700022876,right,1,0.7037505999905989,None,37.85190970002441,37.865338400006294,39.367234500008635,39.367278500052635,39.380610699998215,39.86721870000474,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
4,4,0,4,1,feature,right,left,0,0.4684914999525063,None,1,0,1,0,0,4,4,0,39.88070900004823,,,,,,,,,,,,,,,,,39.86738340003649,39.867397400026675,39.86741649999749,39.88070900004823,,40.3675179000129,40.37570130004315,40.39606790000107,40.86785880004754,left,0,0.4684914999525063,None,40.86792200000491,40.87992450001184,42.36803810001584,42.36807810002938,42.38004070002353,42.868217000039294,42.38004070002353,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
5,5,0,24,1,feature,right,left,0,0.4683159000123851,None,1,0,1,0,0,5,5,1,42.88047390000429,,,,,,,,,,,,,,,,,42.86842210002942,42.86844109999947,42.868478600052185,42.88047390000429,43.44624010002008,43.368533100001514,43.41412860003766,43.44624010002008,43.922572000010405,left,0,0.4683159000123851,None,43.92268950003199,43.9309682000312,45.433149000047706,45.43319180002436,45.44670050003333,45.93445000000065,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
1,0,1,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.94026750000194,45.9464861000306,47.932508199999575,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
0,0,0,4,1,conjunction,right,left,0,0.6020884999888949,None,2,0,2,0,0,0,0,3,47.946219000034034,,,,,,,,,,,,,,,,,47.94004140002653,47.940061300003435,47.940086400019936,47.946219000034034,48.46197820000816,48.43208100000629,48.441622200014535,48.46197820000816,49.06701450003311,left,0,0.6020884999888949,None,49.06709610001417,49.07926180004142,50.56546330003766,50.565496399998665,50.57910400000401,51.06588190002367,50.57910400000401,51.07919550000224,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
1,1,0,12,0,feature,left,left,1,1.539906499965582,None,2,0,2,0,0,1,1,2,51.07919550000224,,,,,,,,,,,,,,,,,51.06609090004349,51.066109300008975,51.06613670004299,51.07919550000224,51.61155750002945,51.565376800019294,51.58730440004729,51.61155750002945,53.16630140005145,left,1,1.539906499965582,None,53.16636530001415,53.17922020005062,54.66490660002455,54.66493890003767,54.678731200052425,55.163691200024914,54.678731200052425,55.17867170000682,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
2,2,0,12,0,conjunction,left,right,0,1.2739693999756128,None,2,0,2,0,0,2,2,5,55.17867170000682,,,,,,,,,,,,,,,,,55.16384590003872,55.16385830001673,55.16387690004194,55.17867170000682,,55.66457120003179,55.69944240001496,55.72760870005004,57.01721700001508,right,0,1.2739693999756128,None,57.017299700004514,57.044069199997466,58.532079600030556,58.53212800004985,58.544567100005224,59.03254870005185,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
3,3,0,24,1,feature,right,right,1,0.9453198999981396,None,2,0,2,0,0,3,3,1,59.04494029999478,,,,,,,,,,,,,,,,,59.03279480000492,59.03281720000086,59.03284870000789,59.04494029999478,59.593797000008635,59.53140279999934,59.56920630001696,59.593797000008635,60.54856710002059,right,1,0.9453198999981396,None,60.548629500030074,60.560794899996836,62.04930130002322,62.049351699999534,62.061236300040036,62.54922110005282,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
4,4,0,4,1,feature,right,right,1,0.8124955000239424,None,2,0,2,0,0,4,4,0,62.56135680002626,,,,,,,,,,,,,,,,,62.54947950004134,62.54950439999811,62.54953750001732,62.56135680002626,63.076859100023285,63.048410600051284,63.05707550002262,63.076859100023285,63.89852770004654,right,1,0.8124955000239424,None,63.89862039999571,63.91136930003995,65.39904040005058,65.39909630001057,65.411305000016,65.89909469999839,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
5,5,0,24,1,conjunction,right,right,1,1.158990099967923,None,2,0,2,0,0,5,5,4,65.91088189999573,,,,,,,,,,,,,,,,,65.8993627000018,65.89938770001754,65.89942270005122,65.91088189999573,66.49290450004628,66.39819940004963,66.46223460003966,66.49290450004628,67.66546160000144,right,1,1.158990099967923,None,67.66553280001972,67.67703420005273,69.18588860001182,69.18595880002249,69.19386920001125,69.6688606000389,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
2,0,2,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.67700790002709,69.70843420003075,71.67940080002882,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.67949290003162,71.69362010003533,71.69362010003533,,,,,,,,,
