set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,fb_text.stopped,ITI_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,1,feature,right,8,8,0,right,1,0.525135500007309,None,,,,,0,8,8,26,41.83883710001828,,,,,,,,,,,,,,,,,41.822618999984115,41.83883710001828,42.32308549998561,42.368907600000966,42.387862299976405,42.92536280001514,,,,,,42.92545340000652,42.938741000019945,43.422810500022024,,,,43.43888319999678,42.387862299976405,,,,,,,,right,1,0.525135500007309,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,0,conjunction,left,9,9,0,left,1,0.7679285000194795,None,,,,,0,9,9,9,43.43888319999678,,,,,,,,,,,,,,,,,43.423305200005416,43.43888319999678,43.92235469998559,43.939997099980246,43.946182499988936,44.72322869999334,,,,,,44.72334999998566,44.738516699988395,45.22271220001858,,,,45.23844200000167,43.946182499988936,,,,,,,,left,1,0.7679285000194795,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,1,conjunction,right,10,10,0,right,1,1.0000573000288568,None,,,,,0,10,10,20,45.23844200000167,,,,,,,,,,,,,,,,,45.22318129998166,45.23844200000167,45.72223620000295,45.79307279997738,45.81331210001372,46.82514829997672,,,,,,46.825233999988995,46.83813200000441,47.32295910001267,,,,47.3383821999887,45.81331210001372,,,,,,,,right,1,1.0000573000288568,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,1,feature,right,11,11,0,right,1,0.538957400014624,None,,,,,0,11,11,2,47.3383821999887,,,,,,,,,,,,,,,,,47.323595999972895,47.3383821999887,47.82168419996742,47.8673950000084,47.88665280002169,48.4414536000113,,,,,,48.441537800012156,48.454711799975485,48.93891620001523,,,,48.95486409997102,47.88665280002169,,,,,,,,right,1,0.538957400014624,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,0,feature,left,12,12,0,left,1,0.9729889999725856,None,,,,,0,12,12,27,48.95486409997102,,,,,,,,,,,,,,,,,48.93957190000219,48.95486409997102,49.4390432999935,49.45957890001591,49.46901499998057,50.45549809996737,,,,,,50.455604600021616,50.47095260000788,50.95511879998958,,,,50.971362599986605,49.46901499998057,,,,,,,,left,1,0.9729889999725856,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,0,conjunction,left,13,13,0,left,1,0.9286930999951437,None,,,,,0,13,13,35,50.971362599986605,,,,,,,,,,,,,,,,,50.955493699992076,50.971362599986605,51.4562517000013,51.5391704000067,51.559771900007036,52.49309890001314,,,,,,52.49321589997271,52.504079499980435,52.987637699989136,,,,53.00398859998677,51.559771900007036,,,,,,,,left,1,0.9286930999951437,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,conjunction,left,14,14,0,left,1,0.619427400000859,None,,,,,0,14,14,34,53.00398859998677,,,,,,,,,,,,,,,,,52.987996299983934,53.00398859998677,53.4876959999674,53.533027299970854,53.544296799984295,54.1735262000002,,,,,,54.17364049999742,54.18716769997263,54.6706225000089,,,,54.68692609999562,53.544296799984295,,,,,,,,left,1,0.619427400000859,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,feature,left,15,15,0,left,1,0.7605695999809541,None,,,,,0,15,15,28,54.68692609999562,,,,,,,,,,,,,,,,,54.670930000022054,54.68692609999562,55.17105970002012,55.20275679999031,55.21553320001112,55.99010819999967,,,,,,55.99023900000611,56.00369529996533,56.48709120001877,,,,56.503716800012626,55.21553320001112,,,,,,,,left,1,0.7605695999809541,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,0,conjunction,left,16,16,0,left,1,0.6850919999997132,None,,,,,0,16,16,33,56.503716800012626,,,,,,,,,,,,,,,,,56.48735920002218,56.503716800012626,56.98744320002152,57.00904029997764,57.015987399965525,57.70501839998178,,,,,,57.70514109998476,57.72012369998265,58.20421080000233,,,,58.219997800013516,57.015987399965525,,,,,,,,left,1,0.6850919999997132,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,1,conjunction,right,17,17,0,right,1,0.5045717000029981,None,,,,,0,17,17,19,58.219997800013516,,,,,,,,,,,,,,,,,58.20471479999833,58.219997800013516,58.70451160002267,58.74711529997876,58.75872749998234,59.272215500008315,,,,,,59.2723066000035,59.2867129999795,59.771314200013876,,,,59.78716219996568,58.75872749998234,,,,,,,,right,1,0.5045717000029981,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
