set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,fix_text.stopped,ITI_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.012833299988415092,0.02704660000745207,0.02704660000745207,1.917439299984835,space,1.7755005999933928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9174905000254512,1.9265537000028417,1.9265537000028417,3.4474338000291027,space,1.5135569000267424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,0,feature,left,0,0,0,left,1,0.9181039999821223,None,0,0,0,2,,,,,3.5429816999821924,,,,,,,,,,,,,,,,,3.524171800003387,3.5429816999821924,3.9644770000013523,3.9848602000274695,4.00994499999797,4.933230200025719,left,1,0.9181039999821223,None,4.933297200012021,4.960266400012188,6.44760379998479,6.447650599991903,6.460310299997218,6.946861399977934,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,conjunction,right,1,1,0,right,1,0.9462814999860711,None,0,1,1,3,,,,,6.960258100007195,,,,,,,,,,,,,,,,,6.947087000007741,6.960258100007195,7.446581199998036,7.480822500016075,7.492818300030194,8.446605000004638,right,1,0.9462814999860711,None,8.446703699999489,8.458958500006702,9.946437300008256,9.946473399992101,9.960703400021885,10.447158800030593,9.960703400021885,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,feature,right,2,2,0,right,1,1.0061652000294998,None,0,2,2,1,,,,,10.459704399982002,,,,,,,,,,,,,,,,,10.44738219998544,10.459704399982002,10.945964100013953,10.986306899983902,11.008694000018295,12.031811500026379,right,1,1.0061652000294998,None,12.031904399977066,12.05775660002837,13.545983200019691,13.546022800030187,13.559250199992675,14.045987399993464,,11.008694000018295,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,0,conjunction,left,3,3,0,left,1,0.8432000000029802,None,0,3,3,5,,,,,14.05901869997615,,,,,,,,,,,,,,,,,14.046149400004651,14.05901869997615,14.546144700027071,14.579566999978852,14.60841139999684,15.463519699987955,left,1,0.8432000000029802,None,15.463581799995154,15.475386300007813,16.963575700006913,16.963623200019356,16.975982600008138,17.46163690002868,16.975982600008138,,17.475502500019502,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,feature,right,4,4,0,left,0,0.589728599996306,None,0,4,4,0,,,,,17.475502500019502,,,,,,,,,,,,,,,,,17.461779100005515,17.475502500019502,17.961434400000144,17.967770399991423,17.975693300017156,18.580382100015413,left,0,0.589728599996306,None,18.580479399999604,18.60762219998287,20.0948324999772,20.094873499998357,20.108506600023247,20.59581369999796,,17.975693300017156,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,conjunction,right,5,5,0,right,1,1.1489972000126727,None,0,5,5,4,,,,,20.60866680002073,,,,,,,,,,,,,,,,,20.595970600028522,20.60866680002073,21.096432799997274,21.16526520001935,21.191293800016865,22.346453799982555,right,1,1.1489972000126727,None,22.346516599995084,22.358266399998683,23.84673250000924,23.846786300011445,23.858722999983,24.344546200009063,23.858722999983,,24.358581500011496,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.344644900003914,24.358581500011496,24.358581500011496,26.51110940001672,space,2.145039099967107,None,,,,,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,1,feature,right,0,0,0,right,1,1.2165751000284217,None,,,,,0,0,0,13,26.557018399995286,,,,,,,,,,,,,,,,,26.550122799992096,26.557018399995286,27.011378100025468,27.104123299999628,27.12404060002882,28.34740690002218,,,,,,,,28.34749670000747,28.357535400020424,28.845007900032215,,,28.857624600001145,,,,,,,,right,1,1.2165751000284217,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
