thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,True,0.011601199978031218,0.026547899993602186,0.026547899993602186,1.382613699999638,space,1.3265477999811992,None,,,,,,,,,,,,,pilot,001,2026-04-19_21h32.58.404,midterm_project,,2026.1.1,59.963650037788035,2026-04-19 21h32.58.684431 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,1.3826710999710485,1.3924644999788143,1.3924644999788143,2.0140032999916,space,0.6119297000113875,None,,,,,,pilot,001,2026-04-19_21h32.58.404,midterm_project,,2026.1.1,59.963650037788035,2026-04-19 21h32.58.684431 +0800,
0,0,0,4,1,feature,right,0,0,0,0,0,0,0,0,2.0422694999724627,,,,,,,,,,,,,,,,,2.023872499994468,2.023892099969089,2.0359543000231497,2.0422694999724627,2.531092000019271,,,,,,,,,
